# Pack: @emojis_premium1
# Set ID: 1038854564851220419
# Short name: tgsemoji112
# Emojis: 196
# Saved: 20260806_172635
🇺🇸	5291747893080766866
🇺🇸	5294168167281604091
🇺🇦	5294210833486724321
🇲🇨	5291754241042429367
🇲🇨	5294399266586900948
🇰🇿	5292132601891406351
🇨🇳	5294528665361594977
🇦🇿	5292095441834359120
🇪🇺	5292215219882326573
🇦🇲	5291774508993100789
🇷🇺	5291734595862018096
🇺🇿	5294289324014057127
🇩🇪	5294470636058458270
🇯🇵	5292252637637394017
🇹🇷	5292218402453075461
🇧🇾	5294128460308952497
🇬🇧	5294447773947543583
🇮🇳	5294510171232419362
🇧🇷	5294401014638590651
🇿🇲	5294161127830205421
🇾🇪	5291806802852198444
🏴󠁧󠁢󠁷󠁬󠁳󠁿	5294044768576225045
🇻🇮	5294211696775150914
🇻🇳	5294317155402137202
🇻🇦	5294429004940458392
🇻🇺	5294154513580570311
🇺🇾	5291863865787694128
🇦🇪	5294285256680029509
🇺🇬	5294079660890535793
🇹🇲	5292055356904585500
🇹🇳	5294039313967757294
🇹🇹	5294412254568004481
🇹🇬	5294043261042703048
🇹🇭	5294308565467543746
🇹🇿	5292124531647854609
🇹🇯	5292058496525679262
🇨🇭	5291752789343485768
🇸🇪	5292195991313726356
🇸🇿	5292027955013238582
🇸🇷	5294004254149721569
🇸🇩	5294204670208653563
🇪🇸	5294323318680206912
🇱🇰	5291887612661872281
🇸🇸	5292027637185658003
🇰🇷	5294103841556413525
🇿🇦	5294100525841659817
🇸🇴	5294078355220478091
🇸🇧	5292246096402201145
🇸🇮	5294068021529164085
🇸🇰	5292028285725719287
🇸🇬	5294406215843985891
🇸🇱	5292063143680291937
🇸🇨	5294299185258969386
🇷🇸	5291929449938302792
🇸🇳	5292266553331433530
🏴󠁧󠁢󠁳󠁣󠁴󠁿	5292267541173909411
🇸🇦	5294345751294393183
🇸🇹	5294491312031021064
🇸🇲	5292127714218622101
🇼🇸	5294254500419221878
🇰🇳	5291931442803126844
🇻🇨	5294418671249142859
🇱🇨	5294255234858630622
🇵🇸	5294319208396502996
🇵🇸	5294432732972071436
🇷🇼	5294524765531291089
🇷🇴	5294080455459486227
🇶🇦	5294044214525442531
🇵🇷	5294287021911586554
🇵🇹	5292106978116516589
🇵🇭	5294212306660507275
🇵🇪	5291960111709830256
🇵🇾	5291897044410055523
🇵🇬	5294033584481383769
🇵🇦	5291750233837944755
🇵🇼	5294108389926780755
🇵🇰	5291913455480092451
🇴🇲	5291911668773699198
🇳🇴	5291807953903434152
🇳🇬	5294130362979465506
🇳🇪	5294512361665738891
🇳🇿	5292140092314367840
🇳🇱	5294241847445566691
🇳🇵	5294374235517500613
🇳🇦	5291794609440047824
🇲🇿	5291747167231294255
🇲🇦	5294475854443723073
🇲🇪	5294007037288527822
🇲🇳	5294157674676500911
🇲🇩	5292243875904108185
🇫🇲	5292212260649843267
🇲🇽	5291875964710567607
🇲🇺	5294442087410842048
🇲🇭	5292053029032311205
🇲🇶	5292100419701455839
🇧🇲	5292231854290647654
🇲🇹	5294538900268661088
🇲🇱	5292134435842439385
🇲🇻	5292156288636041561
🇲🇾	5292109885809376609
🇰🇪	5293996922640546414
🇰🇪	5294079841279162873
🇲🇬	5291743636768176974
🇲🇰	5294302797326465547
🇱🇺	5294194808963743125
🇱🇹	5294343436307020064
🇱🇮	5291983553641331042
🇱🇾	5294081679525165705
🇱🇷	5292232056154109362
🇱🇸	5294143643018345113
🇱🇧	5291982140597091240
🇱🇻	5294197897045228028
🇱🇦	5294515754689902278
🇰🇬	5294072870547241138
🇰🇼	5294510665153657908
🇽🇰	5294020669514727367
🇰🇮	5294082864936140082
🇯🇴	5294235112936847701
🇯🇲	5294171766464198371
🇮🇪	5294046293289614882
🇮🇪	5294489314871228686
🇮🇹	5291783691633179315
🇮🇱	5291780457522806625
🇮🇶	5294084990944952018
🇮🇷	5294418473680649993
🇮🇩	5294364674920301441
🇮🇸	5291879185936037620
🇭🇺	5291889682836109921
🇭🇳	5292122826545838570
🇭🇳	5291857818473740381
🇭🇹	5294173759329025494
🇬🇾	5294398167075273417
🇬🇼	5292022620663855264
🇬🇳	5294318061640235074
🇬🇹	5294371392249149894
🇬🇩	5291955851102271781
🇬🇷	5292126163735427226
🇬🇭	5294208810557126145
🇬🇪	5292010100834186995
🇬🇲	5292179193696630126
